Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2024-02-16 13:45:29,"upper",1h 20m,"Seated Row (Cable)",2,43.0,10.0,0,0.0,,,
2024-02-16 13:45:29,"upper",1h 20m,"Seated Row (Cable)",3,43.0,10.0,0,0.0,,,
2024-02-16 13:45:29,"upper",1h 20m,"Seated Row (Cable)",4,43.0,9.0,0,0.0,,,
2024-02-16 13:45:29,"upper",1h 20m,"Lateral Raise (Dumbbell)",1,6.0,9.0,0,0.0,"",,
2024-02-16 13:45:29,"upper",1h 20m,"Lateral Raise (Dumbbell)",2,6.0,9.0,0,0.0,,,
2024-02-16 13:45:29,"upper",1h 20m,"Lateral Raise (Dumbbell)",3,6.0,9.0,0,0.0,,,
2024-02-16 13:45:29,"upper",1h 20m,"Lateral Raise (Dumbbell)",4,6.0,9.0,0,0.0,,,
2024-02-17 11:48:35,"lower",1h 26m,"Hack Squat",1,13.5,8.0,0,0.0,"","",
2024-02-17 11:48:35,"lower",1h 26m,"Hack Squat",2,13.5,8.0,0,0.0,,,
2024-02-17 11:48:35,"lower",1h 26m,"Hack Squat",3,12.5,6.0,0,0.0,,,
2024-02-17 11:48:35,"lower",1h 26m,"Hack Squat",4,12.5,6.0,0,0.0,,,
2024-02-17 11:48:35,"lower",1h 26m,"Lying Leg Curl (Machine)",1,36.0,11.0,0,0.0,"",,
2024-02-17 11:48:35,"lower",1h 26m,"Lying Leg Curl (Machine)",2,36.0,11.0,0,0.0,,,
2024-02-17 11:48:35,"lower",1h 26m,"Lying Leg Curl (Machine)",3,36.0,11.0,0,0.0,,,
2024-02-17 11:48:35,"lower",1h 26m,"Bicep Curl (Barbell)",1,8.0,10.0,0,0.0,"",,
2024-02-17 11:48:35,"lower",1h 26m,"Bicep Curl (Barbell)",2,8.0,8.0,0,0.0,,,
2024-02-17 11:48:35,"lower",1h 26m,"Bicep Curl (Barbell)",3,8.0,8.0,0,0.0,,,
